leg	[ leg ]	нога
sweat	[ swet ]	пот, потеть
statue	[ 'st?tju: ]	статуя, памятник
fountain	[ 'fauntin ]	источник, фонтан
bars	[ b?:rz ]	бруски(бары) (TR!)
slide	[ slaid ]	скользить
bush	[ bu? ]	куст
tree	[ tri: ]	дерево (tree)
grass	[ gr?:s ]	трава
buffalo	[ 'b?f?l?u ]	буйвол
hedgehog	[ 'he?h?g ]	еж
barge	[ b?:? ]	баржа
boat	[ b?ut ]	лодка, пароход
canoe	[ k?'nu: ]	челн, байдарка
caravan	[ 'k?r?v?n ]	фургон
ferry	[ 'feri ]	перевоз
yacht	[ j?t ]	яхта
ship	[ ?ip ]	корабль, пароход, грузить, перевозить
drain	[ drein ]	вытекание
stopper	[ 'st?p? ]	пробка, затычка
tile	[ tail ]	черепица, кафель
shower	[ '?au? ]	душ, ливень
thread	[ ?red ]	нитка
material	[ m?'ti(?)ri?l ]	материал
seam	[ si:m ]	шов
hem	[ hem ]	"рубец, кромка, кайма; подшивать, подрубать"
snap	[ sn?p ]	щелкать (snap)
needle	[ ni:dl ]	игла
thimble	[ '??mb?l ]	наперсток, наконечник
embroidery	[ im'br?id?ri ]	вышивка
speedometer	[ spi:'d?m?t?r ]	спидометр
horn	[ h?:n ]	рог, забодать
ignition	[ ig'ni?(?)n ]	зажигание, воспламенение
vent	[ vent ]	выпускать, испускать
mat	[ m?t ]	коврик (не rug)
clutch	[ kl?? ]	захват (не snatch)
brake	[ breik ]	тормоз
jack	[ ??k ]	домкрат
hood	[ hud ]	капюшон, капор, колпак, крышка (тех.)
headlight	[ 'hedlait ]	фара (автомобиля), огни (паровоза)
radiator	[ ,reidi'eit? ]	радиатор
battery	[ 'b?t?ri ]	аккумулятор
windfall	[ 'w?ndf?:l ]	неожиданная удача
smash	[ sm?? ]	бить, разбивать
violently	[ 'vail?ntl? ]	неистово
withdraw	[ w??'dr?: ]	брать назад, забирать
builder	[ 'bild? ]	строитель
ladder	[ 'l?d? ]	лестница (не stairs)
rung	[ r?? ]	ступенька, спица колеса
